127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-10-05 18:06:18, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-05 18:06:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:06:20, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-10-05 18:06:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:08:55, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-10-05 18:08:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-10-05 18:09:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-10-05 18:09:08, GET, /admin/default/site, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-10-05 18:09:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/default/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000

127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-10-05 18:09:11, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-10-05 18:09:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:09:13, GET, /start/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-10-05 18:09:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:09:14, GET, /admin/default/site, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-10-05 18:09:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:09:16, GET, /start/default/index, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-10-05 18:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:09:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:09:18, GET, /start/default/index, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-10-05 18:09:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-05 18:09:22, GET, /start/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-10-05 18:09:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:09:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:09:24, GET, /admin/default/site, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-10-05 18:09:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
